SMM543 Procurement (Taught in Mannheim),SMM543,BBMSCB
EPM944 Managing Project Risk & Uncertainty,EPM944,EESEMS
EPM945 Optimization and Decision Making,EPM945,EESEMS
EPM946 The Project Lifecycle,EPM946,EESEMS
EPM947 Financial Engineering & Project Planning,EPM947,EESEMS
SG2015 Circuits of Culture,SG2015,SSSOCL
SG2016 New Media Challenges,SG2016,SSSOCL
SMM121 Hedge Funds/Stream 02,SMM121,BBMSCB
SG2021 Understanding Social Change,SG2021,SSSOCL
Charity CCE Short Courses,CCE,BBMSCB
CS2590 Advanced Database Concepts with SQL Server,%23SPLUS89DD70,AACONT
SG3058 Understanding Global Media Flows,SG3058,SSSOCL
CS3501 Advanced Financial Engineering - Interest Rate Derivatives in C++,%23SPLUS89DD76,AACONT
CRM003 Dissertation module,CRM003,HNSONM
SG3031 Victimology,SG3031,SSSOCL
SG3033 Quantitative Analysis of Social Research Data,SG3033,SSSOCL
SG3036 Policing and Crime Control,SG3036,SSSOCL
SG3038 Youth, Crime and Society,SG3038,SSSOCL
SG3063 Leisure, Power and Control,SG3063,SSSOCL
SG3041 Global Migration Processes,SG3041,SSSOCL
SG3045 Sociology of Race and Racism,SG3045,SSSOCL
SG3050 Gender and Society,SG3050,SSSOCL
International Journalism Induction,%23SPLUS3E0D09,AAJOUR
SMM177 Real Estate Debt Markets,SMM177,BBMSCB
SMM531 Quantitative Methods for Investment Management,SMM531,BBMSCB
ME1109 Engineering Science 1,ME1109,EESEMS
ME1110 Engineering Practice 1,ME1110,EESEMS
ME1111 Mathematics & Computation 1,ME1111,EESEMS
ME2109 Engineering Science 2,ME2109,EESEMS
ME2110 Engineering Practice 2,ME2110,EESEMS
ME2111 Mathematics & Computation 2,ME2111,EESEMS
AE2203 Aeronautical Analysis & Design,AE2203,EESEMS
ME2104 Mechanical Analysis & Design,ME2104,EESEMS
JOM845 Online Journalism (Magazine),JOM845M,AAJOUR
SMM840 Strategic Issues,SMM840,BBMSCB
SMM850 Managing NGOs: People & Practice,SMM850,BBMSCB
INM392 The Information Leader in Organisations,INM392,BBMSCB
AMM426 Culture and Policy,AMM426,AAARTP
CC3009 Education and Learning in the Cultural Sector,CC3009,AAARTP
SMM881 Advanced Strategy Analysis,SMM881,BBMSCB
AMM421 Digital Cultures,AMM421,AAARTP
MS2202 Systems Thinking,MS2202,BBUGPR
AS3001 Final Year Project,AS3001,BBUGPR
MBM019 Professional Development FTMBA,MBM019 FTMBA,BBMBAB
SMMxxx Careers MSc,SMMxxx Careers,BBMSCB
MBM107 Applied Corporate Finance 2 MEMBA,MBM107M,BBMBAB
IP2019 Transnational Social Movements,IP2019,SSIPOL
CE1609 London Parks and Gardens,CE1609,AACONT
IPM004 Understanding Security in the 21st Century,IPM004,SSIPOL
IPM008 Theories of International Politics,IPM008,SSIPOL
IPM009 Development & International Politics,IPM009,SSIPOL
IPM010 Political Islam in Global Politics,IPM010,SSIPOL
AS1051 Mathematics for Actuarial Science (actuarial Science),AS1051,BBUGPR
IF2207 Financial Markets,IF2207,BBUGPR
INM356 Research Evaluation and Communication Skills,INM356,IISOIN
IN1010 Business Systems,IN1010,IISOIN
JOM828 Editorial Production (Magazines),JOM828,AAJOUR
JOM829 Editorial Production (Newspapers),JOM829,AAJOUR
IP3018 Global Governance,IP3018,SSIPOL
IPM012 Political Economy of Global Finance,IPM012,SSIPOL
INM372 Project Management (FT),INM372 (FT),IISOIN
INM372 Project Management (PT),INM372 (PT),IISOIN
MBM026 Quantitative Methods (MEMBA),MBM026,BBMBAB
ECM003a Quantitative Methods - Health/ERC,ECM003a,SSECON
MBM406  Mba Block 1: Integration,MBM406 int,BBMBAB
EPM911 Lasers and Optoelectronics,EPM910,EESEMS
IF1000 Dissertation,IF1000,BBUGPR
SMM721 Air Transport,SMM721,BBMSCB
SMM592 Container & Intermodal Transport,SMM592,BBMSCB
CE2614 Arts of Victorian Britain,CE2614,AACONT
CE2623 Collecting for the Nation,CE2623,AACONT
CE2613 Contemporary Art in London,CE2613,AACONT
CS1508 Using Adobe InDesign,CS1508,AACONT
SMM952 Theory of Finance/(MSc FI,WM),SMM952 FI WM,BBMSCB
SMM951 Quantitative Methods,SMM951,BBMSCB
SMM722 Securities,SMM722,BBMSCB
SMM115 Financial Statement Analysis/FIpt,SMM115 FIpt,BBMSCB
JOM263 Shorthand,JOM263,AAJOUR
JOM865 Journalism Practice (Magazine),JOM865,AAJOUR
JOM831 Journalism Practice Broadcasting and TV,JOM831,AAJOUR
EE3431 Biomedical Sensors & Instruments,EE3431,EESEMS
EX1401 Engineering Mathematics 1,EX1401CIVIL,EESEMS
EMBA Induction Sept 2013 Intake,EMBASEPT,BBMBAB
INM395 Service Manaagement & Delivery,INM395,BBMSCB
INM397 Information Security & Risk,INM397,BBMSCB
INM399 Innovation,Transformation & Change,INM399,BBMSCB
INM400 Professional & Leadership Development,INM400,BBMSCB
CPM Induction,CPM Ind,AAARTP
EVIEWS YR 3 (BUS)/Autumn,EVIEWSBUSautumn,BBUGPR
CE1627 The Archeology of the Church in London,CE1627,AACONT
ECM022 Microeconomics,ECM022,SSECON
ECM108 Econometrics,ECM108,SSECON
ECM023 Asset Pricing,ECM023,SSECON
EPM403 Maritime Risk Management,EPM403,EESEMS
SMM482 Research Methods for Business/ENT/MKT,SMM482 ENT/MKT,BBMSCB
SMM521 Business Research Project,SMM521,BBMSCB
EC1012 Introduction to Law,EC1012,SSECON
PSD208 Groups and Couples: Counselling and Mediation,PSD208,SSPSYC
SMM522 Research Project Management Skills/ IRM,SMM522 IRM,BBMSCB
CS2383 Screenwriting,CS2383,AACONT
SMMxxx Professional Communications,SMMxxx ET,BBMSCB
BS1004 Introduction to Accounting & Finance for Business & Management/BUS/MGT,BS1004 BUS/MGT,BBUGPR
LU3099 Evidence,LU3099,LLILAW
LG3099 Evidence,LG3099,LLILAW
LG3072 Islamic Law,LG3072,LLILAW
LU3072 Islamic Law,LU3072,LLILAW
LU3079 Legal Skills,LU3079,LLILAW
LG3079 Legal Skills,LG3079,LLILAW
EPM786 Maritime Management,EPM786,EESEMS
CE1888 French 4 Advanced,CE1888,AACONT
